,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,281165,278853,99.2,276048,99.0
input2,225760,224077,99.3,220529,98.4
input3,218135,216479,99.2,214004,98.9
b1,271868,271502,99.9,269180,99.1
b2,193922,193686,99.9,192212,99.2
b3,238610,238285,99.9,236222,99.1
