,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,9695,10241555,3057,11.0,10032516.0,98.0,24624,6638,209039.0
input2,9241,10015203,2758,9.9,9815065.0,98.0,24624,6483,200138.0
input3,5044,1630552,1826,6.6000000000000005,1597635.0,98.0,24624,3218,32917.0
b1,4364,20163108,1630,5.8999999999999995,19991666.0,99.1,24624,2734,171442.0
b2,4337,22129683,1631,5.8999999999999995,21935078.0,99.1,24624,2706,194605.0
b3,3742,12710812,1446,5.2,12597133.0,99.1,24624,2296,113679.0
