,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,10222,11924525,3216,11.700000000000001,11677638.0,97.89999999999999,24100,7006,246887.0
input2,10629,12248559,3363,12.2,11997740.0,98.0,24100,7266,250819.0
b1,4520,12791281,1694,6.1,12339625.0,96.5,24100,2826,451656.0
b2,4357,12859999,1618,5.8999999999999995,12418159.0,96.6,24100,2739,441840.0
b3,4236,11280877,1574,5.7,10889494.0,96.5,24100,2662,391383.0
