,Total_reads,Reads_no_indels,Reads_no_indels_%,No_indels_acceptable_RC,Acceptable_RC_over_no_indels_%
input1,12541813,11936335,95.19999999999999,11872700,99.5
input2,12886403,12262460,95.19999999999999,12193469,99.4
b1,12850057,12810378,99.7,12734802,99.4
b2,12913981,12875700,99.7,12809884,99.5
b3,11331585,11294214,99.7,11231857,99.4
